id,date,tour,court,break,ref,time,home,away,h_coef,a_coef
678YVG7i,24/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Истбурн (Великобритания),трава,2,https://www.flashscore.ru.com/match/678YVG7i/#/match-summary/match-summary,16:00,Кресси М. (Сша),Дрейпер Дж. (Вел),1.91,1.90
8KYdu4j3,24/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Истбурн (Великобритания),трава,2,https://www.flashscore.ru.com/match/8KYdu4j3/#/match-summary/match-summary,17:30,Фриц Т. (Сша),Де Минаур А. (Авс),1.97,1.84
EFUuvBH3,24/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Майорка (Испания),трава,2,https://www.flashscore.ru.com/match/EFUuvBH3/#/match-summary/match-summary,16:00,Бонзи Б. (Фра),Циципас С. (Гре),3.00,1.40
Qwzo6uiq,24/06,ATP - ОДИНОЧНЫЙ РАЗРЯД. Майорка (Испания),трава,2,https://www.flashscore.ru.com/match/Qwzo6uiq/#/match-summary/match-summary,18:00,Баутиста-Агут Р. (Исп),Белье А. (Шва),-,-
4UYZtHR7,24/06,WTA - ОДИНОЧНЫЙ РАЗРЯД. Бад Хомбург (Германия),трава,2,https://www.flashscore.ru.com/match/4UYZtHR7/#/match-summary/match-summary,15:30,Андрееску Б. (Кан),Халеп С. (Рум),2.65,1.49
4jIHfteE,24/06,WTA - ОДИНОЧНЫЙ РАЗРЯД. Бад Хомбург (Германия),трава,2,https://www.flashscore.ru.com/match/4jIHfteE/#/match-summary/match-summary,19:00,Корне А. (Фра),Гарсия К. (Фра),1.65,2.25
Wjuyui2c,24/06,WTA - ОДИНОЧНЫЙ РАЗРЯД. Истбурн (Великобритания),трава,2,https://www.flashscore.ru.com/match/Wjuyui2c/#/match-summary/match-summary,13:00,Хаддад Майа Б. (Бра),Квитова П. (Чех),1.81,2.02
z7zhu0dt,24/06,WTA - ОДИНОЧНЫЙ РАЗРЯД. Истбурн (Великобритания),трава,2,https://www.flashscore.ru.com/match/z7zhu0dt/#/match-summary/match-summary,14:30,Остапенко Е. (Лат),Джорджи К. (Ита),1.60,2.35
KpDM2FrT,24/06,ATP - ПАРНЫЙ РАЗРЯД. Истбурн (Великобритания),трава,2,https://www.flashscore.ru.com/match/KpDM2FrT/#/match-summary/match-summary,14:00,Мектич Н./Павич М.,Мидделкоп М./Сэвилл Л.,1.25,3.45
b5uNVDCF,24/06,ATP - ПАРНЫЙ РАЗРЯД. Майорка (Испания),трава,2,https://www.flashscore.ru.com/match/b5uNVDCF/#/match-summary/match-summary,13:30,Аревало М./Ройер Ж.,Матос Р./Вега-Эрнандес Д.,1.50,2.69
bFWFDaYt,24/06,WTA - ПАРНЫЙ РАЗРЯД. Бад Хомбург (Германия),трава,2,https://www.flashscore.ru.com/match/bFWFDaYt/#/match-summary/match-summary,13:00,Ходзуми Э./Ниномия М.,Михаликова Т./Саснович А.,1.44,2.46
SO3g8DFp,24/06,WTA - ПАРНЫЙ РАЗРЯД. Бад Хомбург (Германия),трава,2,https://www.flashscore.ru.com/match/SO3g8DFp/#/match-summary/match-summary,17:00,Калашникова О./Нил И.,Росольска А./Рутлифф Э.,2.24,1.55
UTZhtpyc,24/06,WTA - ПАРНЫЙ РАЗРЯД. Истбурн (Великобритания),трава,2,https://www.flashscore.ru.com/match/UTZhtpyc/#/match-summary/match-summary,15:30,Сюй Ифань/Ян Ч.,Киченок Л./Остапенко Е.,1.85,1.85
2mR97Rjc,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Буэнос Айрес (Аргентина),грунт,2,https://www.flashscore.ru.com/match/2mR97Rjc/#/match-summary/match-summary,16:00,Реис Да Сильва Ж. (Бра),Мелигени Родригес Алвес Ф. (Бра),4.10,1.20
QkMVrTe6,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Буэнос Айрес (Аргентина),грунт,2,https://www.flashscore.ru.com/match/QkMVrTe6/#/match-summary/match-summary,16:00,Уэртас Дель Пино А. (Пер),Комесана Ф. (Арг),4.96,1.18
ImyXuXni,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Буэнос Айрес (Аргентина),грунт,2,https://www.flashscore.ru.com/match/ImyXuXni/#/match-summary/match-summary,17:30,Виллануэва Г. (Арг),Жазири М. (Тун),1.46,2.55
rJtQqhvC,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Буэнос Айрес (Аргентина),грунт,2,https://www.flashscore.ru.com/match/rJtQqhvC/#/match-summary/match-summary,17:30,Фикович Х.-П. (Арг),Навоне М. (Арг),-,-
8Y50GnGo,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Милан (Италия),грунт,2,https://www.flashscore.ru.com/match/8Y50GnGo/#/match-summary/match-summary,12:00,Кориа Ф. (Арг),Дардери Л. (Ита),1.52,2.37
8vynx5Rp,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Милан (Италия),грунт,2,https://www.flashscore.ru.com/match/8vynx5Rp/#/match-summary/match-summary,13:30,Мочизуки Ш. (Япо),Шевченко А. (Рос),3.10,1.32
x4GPhKPQ,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Милан (Италия),грунт,2,https://www.flashscore.ru.com/match/x4GPhKPQ/#/match-summary/match-summary,13:30,Пассаро Ф. (Ита),Дурасович В. (Нор),1.22,3.90
2Fe4M3ze,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Милан (Италия),грунт,2,https://www.flashscore.ru.com/match/2Fe4M3ze/#/match-summary/match-summary,15:30,Гиганте М. (Ита),Марожан Ф. (Вен),1.67,2.08
SUvtyfW4,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Оэйраш 3 (Португалия),грунт,2,https://www.flashscore.ru.com/match/SUvtyfW4/#/match-summary/match-summary,12:00,Рыбаков А. (Сша),Баньис Ф. (Арг),3.30,1.29
dj2mPt4O,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Оэйраш 3 (Португалия),грунт,2,https://www.flashscore.ru.com/match/dj2mPt4O/#/match-summary/match-summary,12:00,Утида К. (Япо),Гиртц М. (Бел),3.15,1.32
6el08aXa,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Оэйраш 3 (Португалия),грунт,2,https://www.flashscore.ru.com/match/6el08aXa/#/match-summary/match-summary,13:30,Коппеянс К. (Бел),Михальски Д. (Пол),1.72,2.01
dteOACzj,24/06,ЧЕЛЛЕНДЖЕР МУЖЧИНЫ - ОДИНОЧНЫЙ РАЗРЯД. Оэйраш 3 (Португалия),грунт,2,https://www.flashscore.ru.com/match/dteOACzj/#/match-summary/match-summary,13:30,Харри Н. (Чил),Жаке К. (Фра),1.19,4.20
